================================================================================
NFL TEAM STATISTICAL RANKINGS - SEASONS 1-8
================================================================================

Seasons Analyzed: 1, 2, 3, 4, 5, 6, 7, 8, 8
Total Teams: 32

--------------------------------------------------------------------------------
OVERALL OFFENSIVE RANKINGS (Average PPG)
--------------------------------------------------------------------------------
 1. SAINTS                 32.1 PPG
31. CARDINALS              -8.2 TO Diff/Season
32. TEXANS                 -12.8 TO Diff/Season

--------------------------------------------------------------------------------
OVERALL POINT DIFFERENTIAL RANKINGS
--------------------------------------------------------------------------------
 1. 49ERS                  +567 Point Diff (8 seasons)
 2. SAINTS                 +408 Point Diff (8 seasons)
 3. DOLPHINS               +354 Point Diff (8 seasons)
 4. BILLS                  +341 Point Diff (8 seasons)
 5. STEELERS               +337 Point Diff (8 seasons)
 6. BEARS                  +318 Point Diff (8 seasons)
 7. COWBOYS                +318 Point Diff (8 seasons)
 8. PACKERS                +256 Point Diff (8 seasons)
 9. CHARGERS               +243 Point Diff (8 seasons)
10. CHIEFS                 +228 Point Diff (8 seasons)
11. GIANTS                 +193 Point Diff (8 seasons)
12. PATRIOTS               +159 Point Diff (8 seasons)
13. BRONCOS                +140 Point Diff (8 seasons)
14. RAVENS                 +127 Point Diff (8 seasons)
15. FALCONS                +110 Point Diff (8 seasons)
16. BENGALS                +1 Point Diff (8 seasons)
17. JETS                   -27 Point Diff (8 seasons)
18. BUCCANEERS             -72 Point Diff (8 seasons)
19. VIKINGS                -91 Point Diff (8 seasons)
20. TITANS                 -105 Point Diff (8 seasons)
21. PANTHERS               -179 Point Diff (8 seasons)
22. BROWNS                 -182 Point Diff (8 seasons)
23. TEXANS                 -189 Point Diff (8 seasons)
24. CARDINALS              -197 Point Diff (8 seasons)
25. LIONS                  -240 Point Diff (8 seasons)
26. EAGLES                 -269 Point Diff (8 seasons)
27. SEAHAWKS               -288 Point Diff (8 seasons)
28. JAGUARS                -314 Point Diff (8 seasons)
29. RAMS                   -397 Point Diff (8 seasons)
30. COLTS                  -519 Point Diff (8 seasons)
31. COMMANDERS             -575 Point Diff (8 seasons)
32. RAIDERS                -614 Point Diff (8 seasons)
